NAME	CODE	PARENT_CODE
neuroblastoma	Neuroblastoma	
neuroendocrineTumors	Neuroendocrine Tumors	carcinoidTumor
nonHodgkinLymphoma	Non-Hodgkin Lymphoma	lymphoma
nonSmallCellLungCancer	Non-Small Cell Lung Cancer	lungCancer
oralCancer	Oral Cancer	headAndNeckCancer
oropharyngealCancer	Oropharyngeal Cancer	headAndNeckCancer
osteosarcoma	Osteosarcoma	boneCancer
ovarianCancer	Ovarian Cancer	
ovarianGermCellTumors	Ovarian Germ Cell Tumors	germCellTumors
pancreaticCancer	Pancreatic Cancer	
pancreaticNeuroendocrineTumors	Pancreatic Neuroendocrine Tumors	pancreaticCancer
papillomatosis	Papillomatosis (Childhood Laryngeal)	laryngealCancer
paraganglioma	Paraganglioma	
paranasalSinusCancer	Paranasal Sinus Cancer	headAndNeckCancer
parathyroidCancer	Parathyroid Cancer	
penileCancer	Penile Cancer	
pharyngealCancer	Pharyngeal Cancer	headAndNeckCancer
pheochromocytoma	Pheochromocytoma	
pituitaryTumor	Pituitary Tumor	
plasmaCellNeoplasms	Plasma Cell Neoplasms	multipleMyeloma
pleuropulmonaryBlastoma	Pleuropulmonary Blastoma	
primaryCNSLymphoma	Primary Central Nervous System (CNS) Lymphoma	lymphoma
primaryPeritonealCancer	Primary Peritoneal Cancer	
prostateCancer	Prostate Cancer	
rectalCancer	Rectal Cancer	
renalCellCancer	Renal Cell Cancer	kidneyCancer
retinoblastoma	Retinoblastoma	eyeCancer
rhabdomyosarcomaChildhood	Rhabdomyosarcoma, Childhood (Soft Tissue Sarcoma)	softTissueSarcoma
salivaryGlandCancer	Salivary Gland Cancer	headAndNeckCancer
sézarySyndrome	Sézary Syndrome (Lymphoma)	lymphoma
skinCancer	Skin Cancer	
smallCellLungCancer	Small Cell Lung Cancer	lungCancer
smallIntestineCancer	Small Intestine Cancer	
softTissueSarcoma	Soft Tissue Sarcoma	
squamousCellCarcinoma	Squamous Cell Carcinoma of the Skin	skinCancer
squamousNeckCancer	Squamous Neck Cancer with Occult Primary, Metastatic	headAndNeckCancer
stomachCancer	Stomach (Gastric) Cancer	gastricCancer
tCellLymphoma	T-Cell Lymphoma, Cutaneous	lymphoma
testicularCancer	Testicular Cancer	germCellTumors
throatCancer	Throat Cancer	headAndNeckCancer
thymicCarcinoma	Thymic Carcinoma	thymoma
thymoma	Thymoma	
thyroidCancer	Thyroid Cancer	
ureterRenalPelvisCancer	Transitional Cell Cancer of the Renal Pelvis and Ureter	kidneyCancer
urethralCancer	Urethral Cancer	
uterineCancer	Uterine Cancer, Endometrial	
uterineSarcoma	Uterine Sarcoma	
vaginalCancer	Vaginal Cancer	
vascularTumors	Vascular Tumors (Soft Tissue Sarcoma)	softTissueSarcoma
vulvarCancer	Vulvar Cancer	
waldenstromMacroglobulinemia	Waldenstrom Macroglobulinemia (WM)	nonHodgkinLymphoma
wilmsTumor	Wilms Tumor	kidneyCancer
