NAME	BRAND_NAME
Synribo	Omacetaxine Mepesuccinate
Tabloid	Thioguanine
TAC	
Tafinlar	Dabrafenib
Tagrisso	Osimertinib
Talc	
Talimogene Laherparepvec	
Tamoxifen Citrate	
Tarabine PFS	Cytarabine
Tarceva	Erlotinib Hydrochloride
Targretin	Bexarotene
Tasigna	Nilotinib
Taxol	Paclitaxel
Taxotere	Docetaxel
Tecentriq	Atezolizumab
Temodar	Temozolomide
Temozolomide	
Temsirolimus	
Thalidomide	
Thalomid	Thalidomide
Thioguanine	
Thiotepa	
Tisagenlecleucel	
Tolak	Fluorouracil--Topical
Topotecan Hydrochloride	
Toremifene	
Torisel	Temsirolimus
Totect	Dexrazoxane Hydrochloride
TPF	
Trabectedin	
Trametinib	
Trastuzumab	
Treanda	Bendamustine Hydrochloride
Trifluridine and Tipiracil Hydrochloride	
Trisenox	Arsenic Trioxide
Tykerb	Lapatinib Ditosylate
Unituxin	Dinutuximab
Uridine Triacetate	
VAC	
Valrubicin	
Valstar	Valrubicin
VAMP	
Vandetanib	
Varubi	Rolapitant Hydrochloride
Vectibix	Panitumumab
VeIP	
Velban	Vinblastine Sulfate
Velcade	Bortezomib
Velsar	Vinblastine Sulfate
Vemurafenib	
Venclexta	Venetoclax
Venetoclax	
VePesid	Etoposide Phosphate
Verzenio	Abemaciclib
Viadur	Leuprolide Acetate
Vidaza	Azacitidine
Vinblastine Sulfate	
Vincasar PFS	Vincristine Sulfate
Vincristine Sulfate	
Vincristine Sulfate Liposome	
Vinorelbine Tartrate	
VIP	
Vismodegib	
Vistogard	Uridine Triacetate
Voraxaze	Glucarpidase
Vorinostat	
Votrient	Pazopanib Hydrochloride
Vyxeos	Daunorubicin Hydrochloride and Cytarabine Liposome
Wellcovorin	Leucovorin Calcium
Xalkori	Crizotinib
XELIRI	
Xeloda	Capecitabine
XELOX	
Xgeva	Denosumab
Xofigo	Radium 223 Dichloride
Xtandi	Enzalutamide
Yervoy	Ipilimumab
Yescarta	Axicabtagene Ciloleucel
Yondelis	Trabectedin
Zaltrap	Ziv-Aflibercept
Zarxio	Filgrastim
Zejula	Niraparib Tosylate Monohydrate
Zelboraf	Vemurafenib
Zevalin	Ibritumomab Tiuxetan
Zinecard	Dexrazoxane Hydrochloride
Ziv-Aflibercept	
Zofran	Ondansetron Hydrochloride
Zoladex	Goserelin Acetate
Zoledronic Acid	
Zolinza	Vorinostat
Zometa	Zoledronic Acid
Zydelig	Idelalisib
Zykadia	Ceritinib
Zytiga	Abiraterone Acetate
